Location,Location_Telangana,Location_Uttar_Pradesh,Location_Tamil_Nadu,Location_Maharashtra,Location_Karnataka,Location_Bihar,Location_West_Bengal,Location_Madhya_Pradesh,Location_Chandigarh,Location_Delhi,Location_Gujarat,Location_Kerala,Location_Jharkhand,Location_Rajasthan,Location_Haryana,Total_Land_Area_acres,Number_of_Cows,Farm_Size,Farm_Size_Medium,Farm_Size_Large,Farm_Size_Small,Date,Date_Ordinal,Date_Year,Date_Month,Date_Day,Date_Quarter1,Date_Quarter2,Date_Quarter3,Date_Quarter4,Date_January,Date_February,Date_March,Date_April,Date_May,Date_June,Date_July,Date_August,Date_September,Date_October,Date_November,Date_December,Date_Monday,Date_Tuesday,Date_Wednesday,Date_Thursday,Date_Friday,Date_Saturday,Date_Sunday,Product_ID,Product_Name,Product_Name_Ice_Cream,Product_Name_Milk,Product_Name_Yogurt,Product_Name_Cheese,Product_Name_Buttermilk,Product_Name_Curd,Product_Name_Paneer,Product_Name_Lassi,Product_Name_Ghee,Product_Name_Butter,Brand,Brand_Dodla_Dairy,Brand_Amul,Brand_Britannia_Industries,Brand_Mother_Dairy,Brand_Raj,Brand_Dynamix_Dairies,Brand_Sudha,Brand_Passion_Cheese,Brand_Warana,Brand_Palle2patnam,Brand_Parag_Milk_Foods,Quantity_liters_kg,Price_per_Unit,Total_Value,Shelf_Life_days,Storage_Condition,Storage_Condition_Frozen,Storage_Condition_Tetra_Pack,Storage_Condition_Refrigerated,Storage_Condition_Polythene_Packet,Storage_Condition_Ambient,Production_Date,Production_Date_Ordinal,Production_Date_Year,Production_Date_Month,Production_Date_Day,Production_Date_Quarter1,Production_Date_Quarter2,Production_Date_Quarter3,Production_Date_Quarter4,Production_Date_January,Production_Date_February,Production_Date_March,Production_Date_April,Production_Date_May,Production_Date_June,Production_Date_July,Production_Date_August,Production_Date_September,Production_Date_October,Production_Date_November,Production_Date_December,Production_Date_Monday,Production_Date_Tuesday,Production_Date_Wednesday,Production_Date_Thursday,Production_Date_Friday,Production_Date_Saturday,Production_Date_Sunday,Expiration_Date,Expiration_Date_Ordinal,Expiration_Date_Year,Expiration_Date_Month,Expiration_Date_Day,Expiration_Date_Quarter1,Expiration_Date_Quarter2,Expiration_Date_Quarter3,Expiration_Date_Quarter4,Expiration_Date_January,Expiration_Date_February,Expiration_Date_March,Expiration_Date_April,Expiration_Date_May,Expiration_Date_June,Expiration_Date_July,Expiration_Date_August,Expiration_Date_September,Expiration_Date_October,Expiration_Date_November,Expiration_Date_December,Expiration_Date_Monday,Expiration_Date_Tuesday,Expiration_Date_Wednesday,Expiration_Date_Thursday,Expiration_Date_Friday,Expiration_Date_Saturday,Expiration_Date_Sunday,Quantity_Sold_liters_kg,Price_per_Unit_sold,Approx_Total_Revenue_INR,Customer_Location,Customer_Location_Madhya_Pradesh,Customer_Location_Kerala,Customer_Location_Rajasthan,Customer_Location_Jharkhand,Customer_Location_Gujarat,Customer_Location_Karnataka,Customer_Location_Haryana,Customer_Location_Tamil_Nadu,Customer_Location_West_Bengal,Customer_Location_Telangana,Customer_Location_Chandigarh,Customer_Location_Maharashtra,Customer_Location_Delhi,Customer_Location_Bihar,Customer_Location_Uttar_Pradesh,Sales_Channel,Sales_Channel_Wholesale,Sales_Channel_Online,Sales_Channel_Retail,Quantity_in_Stock_liters_kg,Minimum_Stock_Threshold_liters_kg,Reorder_Quantity_liters_kg
Telangana,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,856.0,39,Large,False,True,False,2019-12-26,737419,2019,12,26,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,5,Ice Cream,True,False,False,False,False,False,False,False,False,False,Mother Dairy,False,False,False,True,False,False,False,False,False,False,False,612.16,94.43,57806.2688,25,Frozen,True,False,False,False,False,2019-12-15,737408,2019,12,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2020-01-09,737433,2020,1,9,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,80,94.32,7545.6,Madhya Pradesh,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Online,False,True,False,532,47.95,198.99
Gujarat,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,182.28,70,Medium,True,False,False,2022-04-10,738255,2022,4,10,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,Ice Cream,True,False,False,False,False,False,False,False,False,False,Dodla Dairy,True,False,False,False,False,False,False,False,False,False,False,797.69,88.66,70723.1954,28,Frozen,True,False,False,False,False,2022-03-26,738240,2022,3,26,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2022-04-23,738268,2022,4,23,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,645,93.51,60313.95,Karnataka,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Retail,False,False,True,152,83.86,144.3
Kerala,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.97,71,Small,False,False,True,2020-02-22,737477,2020,2,22,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,Milk,False,True,False,False,False,False,False,False,False,False,Mother Dairy,False,False,False,True,False,False,False,False,False,False,False,821.52,11.58,9513.2016,1,Polythene Packet,False,False,False,True,False,2020-01-31,737455,2020,1,31,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2020-02-01,737456,2020,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,778,8.69,6760.82,Gujarat,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Retail,False,False,True,43,89.45,28.11
Madhya Pradesh,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,233.62,95,Large,False,True,False,2022-12-17,738506,2022,12,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,10,Ghee,False,False,False,False,False,False,False,False,True,False,Mother Dairy,False,False,False,True,False,False,False,False,False,False,False,663.34,48.83,32390.8922,138,Ambient,False,False,False,False,True,2022-11-26,738485,2022,11,26,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2023-04-13,738623,2023,4,13,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,438,52.79,23122.02,Tamil Nadu,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Retail,False,False,True,225,86.28,91.7
Kerala,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,412.69,88,Medium,True,False,False,2020-06-24,737600,2020,6,24,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,6,Curd,False,False,False,False,False,True,False,False,False,False,Amul,False,True,False,False,False,False,False,False,False,False,False,385.41,26.18,10090.0338,6,Refrigerated,False,False,True,False,False,2020-05-08,737553,2020,5,8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2020-05-14,737559,2020,5,14,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,270,30.27,8172.9,Madhya Pradesh,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Online,False,True,False,115,52.16,20.14
Madhya Pradesh,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,420.85,25,Large,False,True,False,2020-01-19,737443,2020,1,19,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8,Buttermilk,False,False,False,False,True,False,False,False,False,False,Amul,False,True,False,False,False,False,False,False,False,False,False,367.14,41.05,15071.096999999998,10,Refrigerated,False,False,True,False,False,2019-12-01,737394,2019,12,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2019-12-11,737404,2019,12,11,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,309,40.75,12591.75,West Bengal,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Online,False,True,False,58,37.27,79.56
Tamil Nadu,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,534.5,52,Medium,True,False,False,2021-06-15,737956,2021,6,15,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1,Milk,False,True,False,False,False,False,False,False,False,False,Amul,False,True,False,False,False,False,False,False,False,False,False,896.89,93.72,84056.5308,28,Tetra Pack,False,True,False,False,False,2021-05-22,737932,2021,5,22,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2021-06-19,737960,2021,6,19,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,486,96.08,46694.88,Telangana,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Wholesale,True,False,False,410,26.87,92.23
Jharkhand,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,705.01,24,Large,False,True,False,2020-05-19,737564,2020,5,19,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,9,Paneer,False,False,False,False,False,False,True,False,False,False,Raj,False,False,False,False,True,False,False,False,False,False,False,88.69,87.53,7763.035699999999,10,Refrigerated,False,False,True,False,False,2020-04-04,737519,2020,4,4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2020-04-14,737529,2020,4,14,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,26,87.3,2269.8,Chandigarh,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Wholesale,True,False,False,62,31.49,106.59
Bihar,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,338.45,85,Small,False,False,True,2022-08-08,738375,2022,8,8,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,3,Cheese,False,False,False,True,False,False,False,False,False,False,Britannia Industries,False,False,True,False,False,False,False,False,False,False,False,220.03,13.94,3067.2182,43,Frozen,True,False,False,False,False,2022-07-01,738337,2022,7,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2022-08-13,738380,2022,8,13,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,62,14.13,876.06,Telangana,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Online,False,True,False,158,29.59,193.62
Gujarat,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,30.85,41,Large,False,True,False,2020-04-16,737531,2020,4,16,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,Yogurt,False,False,True,False,False,False,False,False,False,False,Amul,False,True,False,False,False,False,False,False,False,False,False,524.57,84.48,44315.67360000001,28,Frozen,True,False,False,False,False,2020-04-04,737519,2020,4,4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2020-05-02,737547,2020,5,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,173,89.32,15452.36,Tamil Nadu,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Retail,False,False,True,351,92.88,37.73
Karnataka,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,395.58,79,Small,False,False,True,2022-03-03,738217,2022,3,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,Cheese,False,False,False,True,False,False,False,False,False,False,Britannia Industries,False,False,True,False,False,False,False,False,False,False,False,879.11,90.1,79207.811,36,Frozen,True,False,False,False,False,2022-02-04,738190,2022,2,4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2022-03-12,738226,2022,3,12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,610,91.05,55540.5,Rajasthan,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Online,False,True,False,269,48.9,86.16
Maharashtra,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,276.44,80,Small,False,False,True,2021-10-24,738087,2021,10,24,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,6,Curd,False,False,False,False,False,True,False,False,False,False,Sudha,False,False,False,False,False,False,True,False,False,False,False,212.56,81.31,17283.2536,5,Refrigerated,False,False,True,False,False,2021-08-26,738028,2021,8,26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2021-08-31,738033,2021,8,31,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,55,76.37,4200.35,Tamil Nadu,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Online,False,True,False,157,18.64,64.06
Rajasthan,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,551.85,12,Large,False,True,False,2021-11-17,738111,2021,11,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,9,Paneer,False,False,False,False,False,False,True,False,False,False,Sudha,False,False,False,False,False,False,True,False,False,False,False,886.35,62.21,55139.8335,8,Refrigerated,False,False,True,False,False,2021-10-23,738086,2021,10,23,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2021-10-31,738094,2021,10,31,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,845,66.7,56361.5,Jharkhand,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Wholesale,True,False,False,41,46.25,70.4
